Operation|Order.CONN|Order.Validation|PriceService.Out|Order.Execution_|Order.ExecutionReport_CONN
1201269814080|09:36:21,704|09:36:21,861|09:36:21,923|09:36:33,408|09:36:48,158
1201269824391|09:36:22,501|09:36:22,579|09:36:22,611|09:36:31,689|
1201269834392|09:36:23,501|09:36:23,548|09:36:23,579|09:36:33,861|09:36:47,736
1201269844393|09:36:24,501|09:36:24,626|09:36:24,658|09:36:34,095|09:36:46,033
1201269854394|09:36:25,517|09:36:25,642|09:36:25,673|09:36:33,986|
1201269864395|09:36:26,517|09:36:26,611|09:36:26,642|09:36:34,267|09:36:48,345
1201269874396|09:36:27,501|09:36:27,579|09:36:27,595|09:36:34,314|
1201269884397|09:36:28,501|09:36:28,611|09:36:28,658|09:36:34,298|09:36:47,064
1201269894398|09:36:29,611|09:36:29,704|09:36:29,720|09:36:34,767|
1201269904399|09:36:30,501|09:36:31,017|09:36:31,267|09:36:34,923|
1201269914390|09:36:31,517|09:36:31,704|09:36:31,783|09:36:34,923|
1201269924391|09:36:32,501|09:36:32,564|09:36:32,579|09:36:34,376|09:36:47,783
1201269934392|09:36:36,001|09:36:36,173|09:36:36,204|09:36:37,204|09:36:48,173
1201269944393|09:36:36,142|09:36:36,298|09:36:36,329|09:36:37,376|09:36:46,204
1201269954394|09:36:36,283|09:36:36,408|09:36:36,439|09:36:37,283|
1201269964395|09:36:36,501|09:36:36,564|09:36:36,579|09:36:37,173|09:36:48,720
1201269974396|09:36:37,579|09:36:37,783|09:36:37,814|09:36:38,579|09:36:48,017
1201269984397|09:36:38,501|09:36:38,595|09:36:38,658|09:36:39,361|09:36:47,408
1201269994398|09:36:39,517|09:36:39,564|09:36:39,595|09:36:41,595|
1201270004399|09:36:40,501|09:36:40,595|09:36:41,564|09:36:42,392|09:36:49,408
1201270014390|09:36:41,486|09:36:41,767|09:36:41,876|09:36:43,111|09:36:49,704
1201270024391|09:36:43,079|09:36:43,408|09:36:43,423|09:36:44,329|
1201270034392|09:36:43,501|09:36:43,548|09:36:43,595|09:36:44,626|
1201270044393|09:36:45,533|09:36:45,798|09:36:45,923|09:36:46,876|
1201270054394|09:36:45,704|09:36:45,798|09:36:45,908|09:36:46,923|
1201270064395|09:36:46,658|09:36:46,892|09:36:47,079|09:36:48,017|
1201270074396|09:36:48,173|09:36:48,751|09:36:48,783|09:36:49,751|
1201270084397|09:36:48,736|09:36:48,861|09:36:48,876|09:36:49,736|
1201270094398|09:36:49,626|09:36:50,001|09:36:50,126|09:36:51,189|
1201270104399|09:36:50,486|09:36:50,642|09:36:50,673|09:36:51,408|
1201270114390|09:36:51,501|09:36:51,564|09:36:51,611|09:36:52,001|
1201270124391|09:36:52,501|09:36:52,611|09:36:52,642|09:36:54,001|09:36:58,783
1201270134392|09:36:53,486|09:36:53,767|09:36:53,845|09:36:54,861|09:36:56,626
1201270144393|09:36:54,611|09:36:55,048|09:36:55,079|09:36:55,329|09:36:58,345
1201270154394|09:36:55,501|09:36:55,564|09:36:55,579|09:36:55,986|
1201270164395|09:36:56,486|09:36:56,564|09:36:56,595|09:36:57,017|09:37:01,533
1201270174396|09:36:57,517|09:36:57,783|09:36:57,814|09:36:58,814|09:37:01,048
1201270184397|09:36:58,861|09:36:59,142|09:36:59,204|09:36:59,876|
1201270194398|09:36:59,611|09:37:00,079|09:37:00,111|09:37:01,095|09:37:03,814
1201270204399|09:37:00,486|09:37:00,673|09:37:00,767|09:37:01,236|
1201270214390|09:37:01,533|09:37:01,689|09:37:01,736|09:37:02,033|09:37:04,033
1201270224391|09:37:02,486|09:37:02,595|09:37:02,642|09:37:02,954|
1201270234392|09:37:03,486|09:37:03,564|09:37:03,579|09:37:03,845|
1201270244393|09:37:04,501|09:37:04,579|09:37:04,611|09:37:05,439|
1201270254394|09:37:05,564|09:37:05,611|09:37:05,626|09:37:05,876|09:37:08,173
1201270264395|09:37:06,486|09:37:06,579|09:37:06,642|09:37:07,079|09:37:09,345
1201270274396|09:37:07,486|09:37:07,533|09:37:07,564|09:37:07,908|09:37:09,611
1201270284397|09:37:08,579|09:37:08,642|09:37:08,658|09:37:09,079|
1201270294398|09:37:09,486|09:37:09,579|09:37:09,611|09:37:09,923|09:37:12,126
1201270304399|09:37:10,517|09:37:10,658|09:37:10,689|09:37:11,064|09:37:14,095
1201270314390|09:37:11,486|09:37:11,595|09:37:11,611|09:37:11,861|09:37:13,579
1201270324391|09:37:12,486|09:37:12,704|09:37:12,736|09:37:13,314|
1201270334392|09:37:13,564|09:37:13,611|09:37:13,626|09:37:13,876|09:37:16,142
1201270344393|09:37:14,486|09:37:14,548|09:37:14,564|09:37:14,783|09:37:17,329
1201270354394|09:37:15,501|09:37:15,579|09:37:15,595|09:37:15,923|
1201270364395|09:37:16,579|09:37:16,626|09:37:16,642|09:37:16,939|
1201270374396|09:37:17,486|09:37:17,548|09:37:17,564|09:37:17,829|
1201270384397|09:37:18,486|09:37:18,564|09:37:18,579|09:37:18,861|
1201270394398|09:37:19,486|09:37:19,564|09:37:19,579|09:37:20,361|
1201270404399|09:37:20,501|09:37:20,564|09:37:20,611|09:37:20,986|
1201270414390|09:37:21,486|09:37:21,533|09:37:21,548|09:37:21,798|
1201270424391|09:37:22,501|09:37:22,626|09:37:22,658|09:37:23,126|
1201270434392|09:37:23,486|09:37:23,533|09:37:23,548|09:37:23,798|
1201270444393|09:37:24,486|09:37:24,533|09:37:24,548|09:37:24,689|
1201270454394|09:37:25,533|09:37:25,611|09:37:25,642|09:37:26,314|09:37:30,845
1201270464395|09:37:26,517|09:37:26,673|09:37:26,767|09:37:27,345|09:37:30,298
1201270474396|09:37:27,626|09:37:28,251|09:37:28,423|09:37:29,204|09:37:32,454
1201270484397|09:37:28,783|09:37:29,095|09:37:29,158|09:37:29,564|
1201270494398|09:37:29,548|09:37:29,642|09:37:29,658|09:37:30,079|09:37:34,314
1201270504399|09:37:30,501|09:37:30,767|09:37:30,845|09:37:31,798|09:37:33,876
1201270514390|09:37:31,642|09:37:31,829|09:37:31,892|09:37:32,689|
1201270524391|09:37:32,814|09:37:32,970|09:37:32,986|09:37:33,845|09:37:36,111
1201270534392|09:37:33,829|09:37:34,001|09:37:34,111|09:37:34,611|
1201270544393|09:37:34,486|09:37:34,548|09:37:34,564|09:37:34,954|09:37:37,189
1201270554394|09:37:35,486|09:37:35,595|09:37:35,642|09:37:36,111|
1201270564395|09:37:36,517|09:37:36,564|09:37:36,579|09:37:37,158|
1201270574396|09:37:37,501|09:37:37,595|09:37:37,611|09:37:38,251|
1201270584397|09:37:38,486|09:37:38,533|09:37:38,548|09:37:38,845|09:37:41,251
1201270594398|09:37:39,486|09:37:39,548|09:37:39,579|09:37:40,064|09:37:42,261
1201270604399|09:37:40,486|09:37:40,564|09:37:40,595|09:37:40,970|09:37:42,438
1201270614390|09:37:41,548|09:37:41,732|09:37:41,747|09:37:42,126|
1201270624401|09:37:42,488|09:37:42,586|09:37:42,617|09:37:43,564|09:37:45,722
1201270634422|09:37:43,518|09:37:43,626|09:37:43,642|09:37:43,852|09:37:46,717
1201270644443|09:37:44,511|09:37:44,606|09:37:44,619|09:37:45,166|09:37:46,902
1201270654454|09:37:45,492|09:37:45,575|09:37:45,613|09:37:46,161|
1201270664475|09:37:46,513|09:37:46,706|09:37:46,834|09:37:47,345|09:37:49,642
1201270674496|09:37:47,525|09:37:47,600|09:37:47,614|09:37:48,171|09:37:50,650
1201270684527|09:37:48,499|09:37:48,583|09:37:48,599|09:37:48,972|
1201270694548|09:37:49,589|09:37:49,718|09:37:49,808|09:37:50,158|
1201270704569|09:37:50,613|09:37:50,717|09:37:50,788|09:37:51,022|
1201270714580|09:37:51,504|09:37:51,559|09:37:51,575|09:37:51,777|
1201270724601|09:37:52,506|09:37:52,573|09:37:52,589|09:37:52,834|
1201270734622|09:37:53,508|09:37:53,579|09:37:53,593|09:37:53,934|
